ID,RRmean,PTdis,STdis,RRTot,SDRR,hbpermin,PQdis,PQslope,QRdis,QRSseg,PQseg,Pseg,NN50,STseg,STslope,Tseg
0,358.1851852,95.00000177,36.37568406,28,118.9472454,60.17910448,24.16433666,-0.039750816,16.97102378,0.095734127,0.068551587,0.029563492,11,0.10109127,0.017091612,0.108630952
1,84.13445378,20.78693404,13.80914059,120,3.059423711,91.42857143,7.078598788,-0.193177984,0.050422321,0.021150915,0.063309832,0.050924162,1,0.10070503,0.06326085,0.089557927
2,315.2580645,89.25816991,21.69013961,32,11.50306479,68.57142857,29.00315254,-0.013568991,22.50157292,0.101388889,0.0845,0.064722222,4,0.068888889,0.034507345,0.094666667
3,197.6938776,38.4131317,25.02906801,50,1.798004354,75,13.53176833,-0.136163311,0,0,0.053095238,0.064714286,0,0.1,0.048226209,0.100190476
4,312.8387097,105.8064551,35.74795954,32,11.27399741,68.50346878,38.32702076,-0.015234028,16.12526947,0.088107639,0.106770833,0.043836806,2,0.099305556,0.018279919,0.095399306
5,81.56557377,20.56997853,13.58791963,123,3.485303348,93.71428571,7.021350587,-0.173036389,0.081970478,0.003982843,0.054891748,0.051062092,1,0.107587827,0.057468613,0.099724265
6,315.5333333,91.16669034,19.42003631,31,10.08871757,66.96,30.46961056,-0.013667188,23.99362473,0.084935897,0.07724359,0.058173077,1,0.068536325,0.045083239,0.088782051
7,340.6428571,90.89287618,19.41916439,29,14.0387583,62.32835821,38.86093488,-0.013957704,16.08915348,0.090117521,0.111111111,0.069337607,9,0.06832265,0.052098916,0.105128205
8,235.8536585,109.7317298,37.56646667,42,5.120789648,90.72,40.71299165,-0.016572499,15.70808615,0.087367725,0.113227513,0.061044974,0,0.104298942,0.017006073,0.099206349
9,300,96.03192536,21.90513434,33,17.6475919,70.92537313,41.19752786,-0.017811322,16.56477319,0.088804714,0.112457912,0.082575758,3,0.061952862,0.052844202,0.09469697
10,231.8095238,59.83590535,41.84198767,43,13.2345833,92.41791045,18.05346913,-0.076399786,0,0,0.05,0.051614987,3,0.115826873,0.020367779,0.094702842
11,174.9642857,39.73752164,25.60459122,57,24.16532661,85.5,14.22625704,-0.108519573,0,0.022864198,0.06291358,0.067506173,3,0.098419753,0.034565882,0.09382716
12,101.8041237,19.19422048,12.21819549,98,6.563942704,75.264,7.081712015,-0.21177737,0.072182193,0.023246951,0.064786585,0.04720846,1,0.090939405,0.073194438,0.109279726
13,370.8076923,58.19450506,36.17032224,27,72.05394306,57.79980178,20.9486191,-0.079207084,0.616305146,0.031018519,0.076809764,0.070075758,8,0.099031987,0.029876222,0.086784512
14,84.39830508,37.89834688,12.02864949,119,2.561579989,90.66666667,14.51103827,-0.038948122,5.828330584,0.087943412,0.110377956,0.070101351,0,0.095597551,0.060220515,0.105204814
15,147.9242424,38.71888541,25.72816585,67,3.182864186,100.5,13.1018993,-0.125209759,0,0,0.052,0.052,0,0.10280597,0.035280983,0.114865672
16,361.3846154,54.34858066,36.35679635,27,7.766183713,58.32,18.05378799,-0.077115963,0,0,0.050179211,0.066935484,0,0.100806452,0.02412767,0.09265233
17,191.9215686,38.43651452,25.10548533,52,2.185900786,78,13.47298272,-0.134448445,0,0,0.053234568,0.064345679,0,0.100197531,0.046452627,0.112691358
18,140.3285714,38.0038244,25.01676242,71,47.00143506,106.5,13.06691709,-0.111392107,0.014285714,0.01017284,0.058074074,0.068592593,1,0.096444444,0.036422501,0.083012346
19,275.6571429,54.0596799,36.01280741,36,43.52401167,77.37313433,18.11802986,-0.082126271,0,0,0.050154321,0.054783951,1,0.1,0.0266532,0.081404321
20,333.1071429,82.67912088,34.57716551,29,120.936329,62.64,28.72863215,-0.030873384,10.01058325,0.066277778,0.088222222,0.071444444,12,0.097555556,0.017568156,0.095444444
21,80.96747967,28.1708141,6.782666137,124,13.81876594,94.85258964,10.46635052,-0.061006721,5.719545204,0.072916667,0.077205882,0.065206291,14,0.06127451,0.073355756,0.053615196
22,91.83486239,21.44686802,13.42498523,110,6.604854708,83.80952381,7.456153705,-0.194671339,0.436616384,0.014146959,0.061497044,0.051045186,6,0.099239865,0.068297003,0.097603463
23,236.1463415,63.34150172,24.39743056,42,4.381563234,62.74900398,13.81047158,-0.065996034,12.67473164,0.070666667,0.06291358,0.047259259,0,0.095111111,0.024264986,0.122962963
24,171.8947368,38.00572538,25.02003418,58,4.411644124,87,13.08819512,-0.127740123,0.01754386,0.011238095,0.057857143,0.062428571,0,0.096285714,0.039991778,0.077
25,232.6904762,72.00009004,25.36082263,43,13.2817241,63.98809524,28.3714333,-0.032075321,9.274065443,0.041876543,0.087555556,0.053382716,9,0.100345679,0.011716357,0.118666667
26,281.3235294,107.1764725,36.29918818,35,74.5341298,75.2238806,36.82808977,-0.015689845,17.31468876,0.094603175,0.102142857,0.076984127,12,0.100793651,0.016496243,0.095952381
